date,entries,meals,kcal,protein_g,fat_g,carbs_g,fiber_g,protein_goal_g,kcal_goal,protein_goal_pct
2026-04-24,11,3,1629,91.9,66.9,166.5,14.2,160,2000,57
2026-04-25,13,4,2528,92.3,97.6,293.7,23.5,160,2000,58
2026-04-26,10,2,1266,49.4,73.7,104.8,5.5,160,2000,31
2026-04-27,6,3,1525,70.8,56.3,186.7,13.8,160,2000,44
2026-04-28,19,4,1689,107.6,92.5,116.3,4.7,160,2000,67
2026-04-29,12,3,2309,93.3,113.5,230.7,21.6,160,2000,58
2026-04-30,16,4,2049,139.5,89.8,176.6,21.3,160,2000,87
2026-05-01,15,4,2265,134.3,97.9,217,26.4,160,2000,84
2026-05-02,12,2,1594,94.8,53.9,129.8,6.8,160,2000,59
2026-05-03,12,3,2709,65.7,147.1,285.3,23,160,2000,41
2026-05-04,13,3,1690,113.9,59.8,179.3,21.3,160,2000,71
2026-05-05,11,4,1820,113.6,80.5,167.4,22.3,160,2000,71
2026-05-06,15,4,1987,140.8,75,196,22.2,160,2000,88
2026-05-07,15,3,2792,118.7,102.6,347.2,34.8,160,2000,74
2026-05-08,7,3,2431,67.3,122.1,266.7,18.9,160,2000,42
2026-05-09,16,4,2929,112.9,121.4,317.4,7.6,160,2000,71
2026-05-10,11,4,1986,58.4,96.1,227.3,14.7,160,2000,36
2026-05-11,19,4,1551,108.4,59.5,149.1,11.6,160,2000,68
2026-05-12,16,4,1487,101.5,69.1,120.1,7.5,160,2000,63
2026-05-13,17,4,1397,107.7,54.7,128.9,15.9,160,2000,67
2026-05-14,10,4,2188,137.1,81.1,220.7,21.8,160,2000,86
2026-05-15,5,3,1019,70.5,39.8,92.9,12.4,160,2000,44
2026-05-16,12,3,1913,69.4,64.2,262.5,19.4,160,2000,43
2026-05-17,18,3,2779,97.2,129.2,293.5,16.3,160,2000,61
2026-05-18,18,4,1763,118.9,71.5,168.2,15,160,2000,74
2026-05-19,25,4,1646,98.9,62.8,169.1,13.9,160,2000,62
2026-05-20,22,3,2637,119.3,115.4,287.7,28.8,160,2000,75
2026-05-21,22,4,2046,125.2,69.1,233.9,39.7,160,2000,78
2026-05-22,9,2,920,62,42.7,71,9.2,160,2000,39
2026-05-23,8,4,2231,71.4,98.1,247,17.9,160,2000,45
2026-05-24,9,4,2408,87,101.5,247.4,19,160,2000,54
2026-05-25,9,3,2215,107.6,94.8,232.9,31.3,160,2000,67
2026-05-26,13,3,1882,89.6,69.2,222.5,17.4,160,2000,56
2026-05-27,4,3,1150,52.8,43.8,133.7,13,160,2000,33
2026-05-28,7,4,2553,119.3,100.5,285,18.6,160,2000,75
2026-05-29,10,4,1718,105.5,73.4,164.9,23.4,160,2000,66
2026-05-30,11,3,2294,88.3,126.7,199.2,14.7,160,2000,55
2026-05-31,9,3,2042,83.9,93.3,223.1,22.2,160,2000,52
2026-06-01,8,3,1471,90.5,50.2,166,20.4,160,2000,57
2026-06-02,10,3,1702,90.6,53.2,216.1,34.2,160,2000,57
2026-06-03,19,4,2054,115.9,67.7,255.3,29.1,160,2000,72
2026-06-04,13,4,1676,70.2,61.9,212.8,25.2,160,2000,44
2026-06-05,5,2,2015,62.5,80.9,251.4,18.1,160,2000,39
2026-06-06,20,4,3400,96.7,164.4,357.1,27.4,160,2000,60
2026-06-07,8,2,1131,44,37.8,151.7,20.4,160,2000,27
2026-06-08,10,3,1650,51.9,78.2,180,10.2,160,2000,32
